Country code,Country,FP.CPI.TOTL.ZG,IT.NET.USER.P2,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.PCAP.CD,SL.UEM.TOTL.ZS,SP.DYN.LE00.IN,SP.POP.TOTL
ALB,Albania,1.937617549,57.2,34.77184981,52.91894367,4458.073207,16,77.5372439,2897366
DZA,Algeria,3.253684177,16.5,33.14220766,30.2791537,5504.181309,9.800000191,71.00965854,38186135
AGO,Angola,8.776090933,19.1,55.77696158,40.71680979,5295.210896,6.800000191,51.86617073,23448202
ARG,Argentina,,59.9,14.32399611,14.39584912,14623.47869,7.5,76.18729268,42538304
ARM,Armenia,5.793787917,41.9,26.98979048,48.04668713,3486.145636,16.20000076,74.5407561,2992192
AUS,Australia,2.449888641,83,19.88265183,21.11307188,67473.0338,5.699999809,82.19756098,23125868
AUT,Austria,2.000157493,80.6188,53.46617705,49.91531166,50513.38542,4.900000095,80.8902439,8479375
AZE,Azerbaijan,2.381443661,58.7,48.72392485,26.86983826,7811.621418,5.5,70.69314634,9416801
BHR,Bahrain,3.189248093,90.0000397,,,24378.94483,7.400000095,76.66987805,1349427
BGD,Bangladesh,7.529972823,6.63,19.53787411,26.75852861,954.3963997,4.300000191,70.69339024,157157394
BRB,Barbados,1.804005504,73,37.18640505,49.92291521,15153.82138,12.19999981,75.29641463,282503
BEL,Belgium,1.113938556,82.1702,82.76600159,81.42403894,46927.24898,8.399999619,80.38536585,11182817
BTN,Bhutan,7.006666667,29.9,40.84768821,62.87244438,2360.421517,2.099999905,68.30231707,754637
BOL,Bolivia,5.715580098,36.94,44.17631116,37.20903837,2942.438536,2.599999905,67.21736585,10399931
BWA,Botswana,5.883888483,15,54.28118818,54.33762262,6882.259587,18.39999962,47.40560976,2176510
BRA,Brazil,6.201899613,51.04,12.01959683,14.35620154,11711.06334,5.900000095,73.88595122,204259377
BGR,Bulgaria,0.890093541,53.0615,68.39289495,68.97277794,7498.831484,12.89999962,74.46585366,7265115
BFA,Burkina Faso,0.533738507,9.1,26.11116255,37.28682255,709.7828128,3.099999905,56.27502439,17084554
BDI,Burundi,7.950674328,1.3,7.395821132,34.24535243,259.3652026,6.900000095,54.09719512,10465959
KHM,Cambodia,2.94260016,6.8,65.77084241,73.84297522,1009.909922,0.300000012,71.74756098,15078564
CMR,Cameroon,1.945145275,6.4,20.65738013,28.90939125,1331.200021,4,55.04180488,22211166
CAN,Canada,0.938291898,85.8,30.19433835,31.79000073,52305.25839,7.099999905,81.40112195,35158304
CPV,Cape Verde,1.512153759,37.5,,,3623.224045,7,74.87068293,507258
TCD,Chad,0.145451048,2.3,33.56559167,39.08332409,985.0952473,7,51.15907317,13145788
